timestamps,TP9,AF7,AF8,TP10,Right AUX
1595685541.897,-11.230,-40.039,-35.645,-37.598,0.000
1595685541.901,-27.832,-46.387,-40.039,-51.758,0.000
1595685541.905,-24.414,-41.016,-35.156,-38.086,0.000
1595685541.909,-8.789,-36.621,-35.645,-17.578,0.000
1595685541.913,3.418,-37.598,-34.180,-12.695,0.000
1595685541.917,1.953,-33.691,-26.367,-8.789,0.000
1595685541.921,-14.648,-37.598,-29.785,-21.484,0.000
1595685541.925,-20.508,-36.133,-29.297,-34.180,0.000
1595685541.928,-15.625,-28.809,-25.879,-14.160,0.000
1595685541.932,-2.441,-28.809,-24.414,-3.418,0.000
1595685541.936,0.977,-30.273,-22.949,-16.602,0.000
1595685541.940,-16.602,-38.574,-28.320,-35.156,0.000
1595685541.944,-29.785,-44.434,-35.645,-41.992,0.000
1595685541.948,-17.090,-40.527,-36.621,-35.645,0.000
1595685541.952,-1.465,-41.504,-34.668,-23.926,0.000
1595685541.956,0.488,-43.457,-39.062,-20.020,0.000
1595685541.960,-12.207,-44.434,-41.016,-37.109,0.000
1595685541.964,-21.973,-41.992,-35.156,-27.832,0.000
1595685541.968,-15.625,-40.039,-29.297,-17.090,0.000
1595685541.971,-9.277,-43.457,-33.203,-21.973,0.000
1595685541.975,-4.395,-41.504,-33.203,-13.672,0.000
1595685541.979,-10.254,-42.969,-27.344,-27.832,0.000
1595685541.983,-13.184,-42.969,-23.438,-39.062,0.000
1595685541.987,-0.977,-38.086,-22.949,-27.344,0.000
1595685541.991,7.324,-32.715,-21.484,-5.371,0.000
1595685541.995,2.930,-35.156,-16.602,-0.977,0.000
1595685541.999,-8.789,-43.457,-15.137,-20.020,0.000
