timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686201.940,-8.789,-24.414,-23.438,24.414,0.000
1595686201.944,-16.602,-19.043,-21.484,14.648,0.000
1595686201.948,-17.090,-19.043,-24.414,3.418,0.000
1595686201.952,-17.578,-18.555,-26.855,4.883,0.000
1595686201.956,-14.160,-17.578,-29.297,10.742,0.000
1595686201.960,-20.508,-18.066,-36.133,-1.953,0.000
1595686201.964,-35.645,-18.066,-39.062,-12.207,0.000
1595686201.968,-33.203,-20.996,-37.109,-10.742,0.000
1595686201.971,-12.695,-20.508,-35.156,-6.836,0.000
1595686201.975,-9.277,-22.949,-32.227,2.441,0.000
1595686201.979,-20.508,-22.461,-33.203,3.418,0.000
1595686201.983,-21.973,-20.508,-35.156,-1.465,0.000
1595686201.987,-21.484,-24.902,-33.203,0.977,0.000
1595686201.991,-21.973,-31.738,-33.203,5.371,0.000
1595686201.995,-17.578,-35.645,-33.203,7.324,0.000
1595686201.999,-24.414,-33.203,-30.762,8.301,0.000
1595686202.003,-34.180,-28.320,-30.762,6.836,0.000
1595686202.007,-31.738,-25.879,-31.738,4.395,0.000
1595686202.010,-24.414,-30.762,-26.367,10.742,0.000
1595686202.014,-26.367,-31.738,-27.832,6.836,0.000
1595686202.018,-39.062,-32.227,-36.133,-5.371,0.000
1595686202.022,-48.828,-32.715,-40.527,-12.695,0.000
1595686202.026,-48.340,-32.227,-37.598,-13.672,0.000
1595686202.030,-38.574,-29.297,-34.180,-4.395,0.000
1595686202.034,-21.484,-29.785,-35.645,-2.930,0.000
1595686202.038,-25.391,-34.668,-34.180,-2.441,0.000
1595686202.042,-39.551,-30.273,-35.156,-2.930,0.000
1595686202.046,-41.016,-26.367,-41.504,-10.254,0.000
1595686202.050,-35.156,-26.367,-42.480,-7.324,0.000
1595686202.053,-31.738,-24.902,-41.504,-10.742,0.000
1595686202.057,-42.480,-28.320,-44.922,-24.902,0.000
1595686202.061,-49.805,-31.738,-48.340,-19.531,0.000
1595686202.065,-45.410,-33.203,-49.805,-12.207,0.000
1595686202.069,-44.922,-31.250,-44.922,-17.090,0.000
